,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,minus_log10_padj,significant
ENSG00000100592,557.728868162086,-0.661286035881731,0.16503380558619,-4.0069731988115,6.15018388438337e-05,0.0423104695864283,DAAM1,1.3735521545868603,True
ENSG00000100908,48.5233890825569,-3.29892900403181,0.807266697113531,-4.08654167925852,4.37850858183908e-05,0.0332191840949617,EMC9,1.478611038573589,True
ENSG00000125089,619.767202976259,0.891008611657294,0.214872658805156,4.14668211680319,3.3732788444394e-05,0.0283636529503279,SH3TC1,1.5472378371700017,True
ENSG00000125944,1216.30723135521,-1.83535406315095,0.279970949118707,-6.55551609525303,5.5449767813545394e-11,4.19616117929005e-07,HNRNPR,6.377147838416546,True
ENSG00000130766,84.9349945556056,-2.79635968659091,0.506203776244786,-5.52417784658854,3.31032020225345e-08,0.0001002033925222,SESN2,3.999117574589235,True
ENSG00000144034,306.43426788394,-1.10438998449996,0.179723014548975,-6.14495582144271,7.99857739051438e-10,3.02646172013588e-06,TPRKB,5.519064814842093,True
ENSG00000167774,41.1330469866644,3.24442718230335,0.740575517715614,4.38095387261942,1.18160886305099e-05,0.011177281338923,ENSG00000167774,1.9516638174767524,True
ENSG00000169627,206.057412523061,-0.906162901273776,0.228793126216107,-3.96062117888042,7.47550452040492e-05,0.0491920699636211,BOLA2B,1.30810490228588,True
ENSG00000170667,216.730897025001,1.01397139386225,0.189481379678593,5.35129834700483,8.73254118742122e-08,0.0001888100155308,RASA4B,3.723974972037993,True
ENSG00000173867,13.5848658162049,-7.20799599542317,1.59103733431079,-4.53037514581364,5.88790424489949e-06,0.0068548792881964,ENSG00000173867,2.164000188566925,True
ENSG00000183715,26.2841055392078,-4.04527605853021,0.748964147954277,-5.40116114980869,6.62109114558103e-08,0.0001670170241472,OPCML,3.777239258694551,True
ENSG00000204569,2131.13086328039,-0.693315362608766,0.158229838890466,-4.38169796209367,1.17757980689219e-05,0.011177281338923,PPP1R10,1.9516638174767524,True
ENSG00000205572,33.1021588885062,-8.48366524195818,1.32815006667158,-6.38758033060131,1.68531083249156e-10,8.50239314991991e-07,SERF1B,6.070458817165514,True
ENSG00000259399,10.0029148211517,-6.76462170838165,1.41880182991187,-4.76784112183011,1.86210535140107e-06,0.0028182964493455,TGIF2-RAB5IF,2.550013326505786,True
ENSG00000291313,15.0144230325,7.35473247707817,1.47727602327112,4.97857703044056,6.40534503172386e-07,0.0012118112131892,ENSG00000291313,2.916565033186524,True
